id,review,class
39,Make it like better with a giant pig bigger than king pig.,feature request
42,"These screens are small enough without crowding in more stuff""  Tuck it in with the rest of the add ons I never use and please get it out of my face!""",information giving
49,"Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item.",information giving
56,App crashes when new power up notice pops up.,problem discovery
62,It would be nice to have an update that didn  t crash the app.,information giving
63,App crashes with new release.,problem discovery
67,I have had no problems with any of the versions so far.,information giving
68,Please bring back the trajectory line or at least make it to where you can turn it on or off.,feature request
69,This is not worth buying it will crash right from the beginning.,problem discovery
70,I will say you should make shock so close to the other buttons because I like to use the birds you provide.,feature request
70,That needs to change.,information giving
1588,"Similarly every single app that gets updated to a beautiful"" ios7 look is one I will not update.""",information giving
1591,This should Really be fixed!,problem discovery
1591,And you still can  t upload videos!!,problem discovery
1594,"Is it just me, or is anyone else having the problem where the app won  t even open at all?",problem discovery
1594,I need to save my photos.,feature request
1615,I  ve never had any issues with it and have been a user for years.,information giving
1619,The app doesn  t work unless you have the iOS 7 update and not all devices have that update so they should really fix this.,problem discovery
1621,I now see that you must have IO7 or better for the app.,information giving
1624,"Please, please give us the ability to rename files from this app.",feature request
1629,I  ll rate 5 once you can view '.',information giving
1633,I still cannot believe that the team at Dropbox STILL hasn?,information giving
1635,Sez needs software update but Apple sez software is uptodate.,problem discovery
1637,It would allow me to get work done on my phone and edit files on the go for projects.,information giving
1638,Only thing is they need to offer better customized pricing for upgrade plans.,feature request
1640,"Please, please FIX this video upload issue.",problem discovery
1640,"\nI would turn off automatic uploads, but i need my regular photos to upload.",information giving
1644,Please please please these are easy changes...it used to be this way so make it go back!!!,information giving
1645,Please fix the syncing issues with the iPad app.,problem discovery
1645,"Trying to automate it would be good if it worked, but it doesn  t. ,",problem discovery
1646,Why everything is so white?,information seeking
1646,The pictures show a white background just like the iOS7 photo app.,information giving
1651,"U Dropbox employers improved mostly everything, but in the app it should have the ability to rename files, whereas the web version can.",feature request
1653,Ask me if I would like to use background uploading only once and remember my preference   don  t pester me every time I open the app to turn that feature on.,feature request
3793,"I  ve been a loyal EN fan for years but just this week it  s frozen and after reinstalling on both my iPad and iPhone, it crashes each time I open it.",problem discovery
3793,Holidays are here and I  m a disorganized mess without EN!,information giving
3796,"For some reason, it doesn  t quite feel user friendly to me just yet.",problem discovery
3799,And it  s all available on iPad and iPhone.,information giving
3800,Latest version crashes on launch on my iPad in iOS 7.,problem discovery
3801,I need my notes!,problem discovery
3803,Contacted Evernote support.....they are working on the fix.,information giving
3805,240 notes I can  t see.,information giving
3806,It crashes all the time and the only way I can resolve is uninstall/reinstall the app.,problem discovery
3808,The new version crashes on startup on my iPhone and iPad.,problem discovery
3809,Deleting app and reinstalling does not work either.,problem discovery
3811,The latest version crashes on launch for my iPhone 5s.,problem discovery
3814,This is the third update in 3 months that has crashed upon installation for me.,problem discovery
3817,Just crashes.,problem discovery
3820,Got the latest update and now it will not open on my phone.,information giving
3820,Please fix this ASAP.,information giving
3826,"Now, it crashes when loading.",problem discovery
3826,Please fix it!,information giving
3828,"The latest interface is substandard from a useability standpoint besides being ugly, and the latest version will not launch on my iPhone 5.",information giving
3830,Do not update.,information giving
3831,Latest update crashes every time on startup on 5S.,problem discovery
3833,I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5.,problem discovery
3833,"Please fix it or at least let us know you are working on this ,",information giving
3834,Latest update crashes!,problem discovery
3836,"If you are having problems with the latest Evernote update here  s the fix:\n\nIf you installed the latest update &amp; Evernote is still crashing:\n\nGo to Settings, Privacy, Contacts look for Evernote &amp; select OFF.",information giving
3837,Just crashes shortly upon launch.,problem discovery
3837,"Evernote please fix ASAP ,",information giving
3840,I will not use a note application I can  t trust not to lose my information.,information giving
3841,"Since IOS 7,2, it continues to crash upon opening.",problem discovery
3844,"It let me down AT THE HOSPITAL where I needed Medication List, Healthcare Power of Attorney and Living Will.",problem discovery
3844,"Epic FAIL ,",problem discovery
3846,"Don  t upgrade, newest version has a connectivity problem with wifi and won  t open.",problem discovery
3849,"Even after clean install this app crashes over and over ;(\nGuys, please test updates before releasing them.",problem discovery
3852,How could this app fail so completely?,information seeking
3853,"They made it so complicated n difficult to use (it was a lot more easier few updates ago), I have no idea how to add a note.",information seeking
3854,It won  t remain open for more than 10 seconds before it crashes.,problem discovery
3854,\n\nDeletion and reinstallation of the app has yet to resolve the issue.,problem discovery
3855,App keeps freezing and then it crashes.,problem discovery
3857,But upon latest upgrade crashes on open.,problem discovery
3857,Do not upgrade on iPad.,information giving
3857,Very disappointed I can  t access my info as premium user.,problem discovery
3858,The newest update crashes repeatedly!,problem discovery
3858,Do not update!,information giving
3859,Now I can  t access any of my notes.,problem discovery
3862,"After the latest upgrades, there were issues and now it crashes and I cannot access anything.",problem discovery
3862,Please fix it!,information giving
3864,I have tried to delete and reinstall but that didn  t fix the problem.,information giving
3867,New version crashes every time on iPhone 5.,problem discovery
3867,Please get a fix out soon.,feature request
3868,The new version did not crash in my hand because I deleted it in 5 min and went back to the old version by syncing with iTunes library on my PC.,information giving
3868,\nThe biggest problem for the new version is   people like me having 30 notebooks and 80 tags have big trouble switching between notes.,problem discovery
3868,You have to tap several times between each switch.,problem discovery
3868,"\n\nThe second problem is the ugly interface, probably for matching the ugly icons of iOS 7?",problem discovery
3869,It crashes.,problem discovery
3871,"mwingerski ,  If this development team focus on making the App WORK rather than always adding new features I might give this five stars \nNew features are totally worthless if I can  t even open the app after it updates\nDon  t bother sending a support request from within the app because no one ever reads it even if you are a premium subscriber ,",problem discovery
3872,'Unable to sync' this is a past problem.,problem discovery
3872,\nThought I resolved problem when I uninstalled and reinstalled app on my iPhone.,information giving
3875,Recent update causes Evernote on iOS to fail.,problem discovery
3876,"Whit screen of death...can  t even use ,",problem discovery
3878,"I don  t have a problem paying for Premium, but not when it includes something so basic and essential that it  s a joke to have to pay for.",problem discovery
3881,Where is your QA?,information seeking
3882,Update crashes all the time.,problem discovery
3885,Once again Evernote has launched an update that crashes on both my iPad and iPhone 5S.,problem discovery
3886,I even have the Premium version and bought several books on how to use the tool.,information giving
3886,I think the power just takes a while to understand for each user.,information giving
3887,"Extending the brand into notebooks, backpacks, coffee mugs and T shirts works for Starbucks because the coffee tastes good and is reliably available.",information giving
3889,Do not update.,information giving
3890,The last update crashes upon opening on iPad and iPhone!,problem discovery
3891,It tries to open for a few seconds then crashes to home screen.,problem discovery
3891,I tried uninstalling rebooting reinstall but the same result occurs.,problem discovery
3891,Please fix this ASAP!,problem discovery
3895,New version crashes on both iPad 2 and iPhone 4S.,problem discovery
3899,Please fix app.,problem discovery
3900,Updates crashes 5s\nClean install same\n\nEvernote help no help\nEvernote you.,problem discovery
3902,I like it and it  s available in all platforms.,information giving
3904,"I love Evernote and have become very reliant on it, one of the apps I can  t do without however I am without it now because it crashes on open and will not open on iPhone.",problem discovery
3906,Tried to delete and reinstall but it still crashes.,problem discovery
3907,"Sclathos ,  Evernote is not working after upgrade.",problem discovery
3907,It will open but then it crashes and sometimes re opens on its own.,problem discovery
3907,You can  t open any notes when it does load.,problem discovery
3908,"When I try to take a photo as a note, the app crashes.",problem discovery
3909,7.2 completely crashes on startup on iphone 5 and ipad 3.,problem discovery
3911,"App crashes on update, even after reboot and reinstall.",problem discovery
3911,Please address issue.,problem discovery
3913,"One of my all time favorite apps, however the latest update makes it unable as it freezes and crashes.",problem discovery
3914,"It  s a great program,  but since the last update last night, it just crashes every time I open it.",problem discovery
3914,"\n\nI uninstalled it, reinstalled it, still crashes.",problem discovery
3914,"I uninstalled it, did a clean boot, installed again, still crashes, Evernote, please fix this ASAP.",problem discovery
16048,You must get this app one of the best.,information giving
16055,"Probably the best app available so easy to use and it makes a lot of fun\nLove using it on my iPhone too ,",information giving
16063,"Also has practical uses...show pictures to hair stylist, pin recipes so you know what you need at the store, etc ,",information giving
16075,"I love this app, i think it is the best out there i recommend this to anyone who loves to kill time on their computer!",information giving
16086,"Only complaint is you can  t change then orientation, which is especially bothersome for videos.",problem discovery
16088,This is a little inconvenient and could be improved.,feature request
16102,I do not feel the need to be notified when someone creates a new board.,information giving
16106,I haven  t had any problems with this app.,information giving
16113,"It is so much fun and gives you so many ideas of how to approach life ,",information giving
16114,There are also great cleaning ideas and personal ideas like how to make your own facial scrub!,information giving
